2023-10-28 21:10:20,249 - Child process 'my_process' with PID 2492 created.
2023-10-28 21:10:20,250 - Child process 'my_process' with PID 2475 running
2023-10-28 21:10:20,253 - Child process 'my_process' with PID 2492 encountered an error: [Errno 2] No such file or directory
2023-10-28 21:10:31,093 - Thread 'my_thread1' created successfully
2023-10-28 21:10:31,093 - Thread 'my_thread1' running
2023-10-28 21:10:37,782 - Thread 'my_thread2' created successfully
2023-10-28 21:10:37,782 - Thread 'my_thread2' running
2023-10-28 21:10:50,934 - Thread 'mn_thread' created successfully
2023-10-28 21:10:50,934 - Thread 'mn_thread' running
2023-10-28 21:10:56,882 - Thread 'my_thread' not found.
2023-10-28 21:11:05,479 - Thread 'my_thread1' terminated.
2023-10-28 21:11:20,013 - Processes created through your code:
2023-10-28 21:11:23,918 - Process with PID: 2345, Parent PID: 1, Name: passd, Status: running
2023-10-28 21:11:23,918 - Process with PID: 2354, Parent PID: 1, Name: naturallanguaged, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2355, Parent PID: 1, Name: StatusKitAgent, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2364, Parent PID: 1, Name: spindump_agent, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2373, Parent PID: 1, Name: sysmond, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2379, Parent PID: 1, Name: com.apple.CoreSimulator.CoreSimulatorService, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2380, Parent PID: 1, Name: SimLaunchHost.arm64, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2395, Parent PID: 1, Name: IMDPersistenceAgent, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2396, Parent PID: 1, Name: extensionkitservice, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2397, Parent PID: 1, Name: ScreenTimeWidgetExtension, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2410, Parent PID: 83449, Name: zsh, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2416, Parent PID: 1, Name: simdiskimaged, Status: running
2023-10-28 21:11:23,919 - Process with PID: 2455, Parent PID: 1, Name: logd_helper, Status: running
2023-10-28 21:11:23,920 - Process with PID: 2465, Parent PID: 1, Name: proactiveeventtrackerd, Status: running
2023-10-28 21:11:23,920 - Process with PID: 2475, Parent PID: 2410, Name: Python, Status: running
2023-10-28 21:11:23,920 - Process with PID: 2476, Parent PID: 2475, Name: Python, Status: running
2023-10-28 21:11:23,920 - Process with PID: 2492, Parent PID: 2475, Name: Python, Status: zombie
2023-10-28 21:11:23,920 - Process with PID: 2671, Parent PID: 1, Name: tipsd, Status: running
2023-10-28 21:11:23,920 - Process with PID: 2778, Parent PID: 1, Name: SimulatorTrampoline, Status: running
